Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 030 ;LOMBARDIA;097;LECCO;Merate;097048;; 3.801 ; 2.072 ; 5.873 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 6.812 ; 4.306 ; 11.118 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Moggio;097050;; 742 ; 7 ; 749 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.371 ; 7 ; 1.378 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Oggiono;097057;; 4.637 ; 606 ; 5.243 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.968 ; 926 ; 8.894 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Oliveto Lario;097060;; 1.981 ; 1.248 ; 3.229 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 3.716 ; 3.670 ; 7.386 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Pasturo;097065;; 1.215 ; 121 ; 1.336 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.693 ; 229 ; 1.922 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Perledo;097067;; 554 ; 4.589 ; 5.143 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 912 ; 10.993 ; 11.905 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;Valmadrera;097083;; 1.700 ; 2.467 ; 4.167 ; 1.349 ; 2.299 ; 3.648 ; 351 ; 168 ; 519 ;; 3.354 ; 4.885 ; 8.239 ; 2.088 ; 4.293 ; 6.381 ; 1.266 ; 592 ; 1.858 
 030 ;LOMBARDIA;097;LECCO;Varenna;097084;; 2.135 ; 20.032 ; 22.167 ; 1.805 ; 16.131 ; 17.936 ; 330 ; 3.901 ; 4.231 ;; 4.018 ; 47.287 ; 51.305 ; 3.414 ; 39.515 ; 42.929 ; 604 ; 7.772 ; 8.376 
 030 ;LOMBARDIA;097;LECCO;Altri comuni della Provincia di LECCO; ;; 32.119 ; 19.682 ; 51.801 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 61.583 ; 49.041 ; 110.624 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;097;LECCO;; ;; 110.507 ; 122.652 ; 233.159 ; 70.084 ; 86.986 ; 157.070 ; 40.423 ; 35.666 ; 76.089 ;; 249.488 ; 310.896 ; 560.384 ; 141.803 ; 209.482 ; 351.285 ; 107.685 ; 101.414 ; 209.099 
 030 ;LOMBARDIA;098;LODI;Codogno;098019;; 987 ; 164 ; 1.151 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 4.289 ; 618 ; 4.907 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;098;LODI;Lodi;098031;; 9.919 ; 13.853 ; 23.772 ; 9.159 ; 13.753 ; 22.912 ; 760 ; 100 ; 860 ;; 24.012 ; 27.349 ; 51.361 ; 19.421 ; 27.024 ; 46.445 ; 4.591 ; 325 ; 4.916 
 030 ;LOMBARDIA;098;LODI;Tavazzano con Villavesco;098056;; 7.010 ; 825 ; 7.835 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 12.189 ; 3.220 ; 15.409 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;098;LODI;Altri comuni della Provincia di LODI; ;; 77.075 ; 25.704 ; 102.779 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 97.835 ; 36.920 ; 134.755 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;098;LODI;; ;; 94.991 ; 40.546 ; 135.537 ; 90.474 ; 38.760 ; 129.234 ; 4.517 ; 1.786 ; 6.303 ;; 138.325 ; 68.107 ; 206.432 ; 121.509 ; 62.936 ; 184.445 ; 16.816 ; 5.171 ; 21.987 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Arcore;108004;; 9.724 ; 4.958 ; 14.682 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 23.193 ; 10.967 ; 34.160 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Briosco;108011;; 265 ; 89 ; 354 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 519 ; 418 ; 937 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Brugherio;108012;; 4.832 ; 2.769 ; 7.601 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 7.984 ; 5.434 ; 13.418 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Cesano Maderno;108019;; 64.815 ; 19.253 ; 84.068 ; 64.362 ; 19.230 ; 83.592 ; 453 ; 23 ; 476 ;; 75.392 ; 28.385 ; 103.777 ; 74.049 ; 28.320 ; 102.369 ; 1.343 ; 65 ; 1.408 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Desio;108023;; 6.763 ; 1.469 ; 8.232 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 18.919 ; 4.872 ; 23.791 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Lissone;108028;; 15.873 ; 9.739 ; 25.612 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 48.955 ; 34.109 ; 83.064 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Monza;108033;; 64.828 ; 31.962 ; 96.790 ; 54.865 ; 28.457 ; 83.322 ; 9.963 ; 3.505 ; 13.468 ;; 134.650 ; 72.584 ; 207.234 ; 80.314 ; 51.718 ; 132.032 ; 54.336 ; 20.866 ; 75.202 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Nova Milanese;108035;(a); 404 ; 92 ; 496 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.070 ; 342 ; 1.412 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Sovico;108041;; 335 ; 36 ; 371 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 785 ; 223 ; 1.008 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Usmate Velate;108044;; 3.567 ; 7.141 ; 10.708 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 10.119 ; 8.812 ; 18.931 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Varedo;108045;; 12.807 ; 2.304 ; 15.111 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 21.196 ; 4.417 ; 25.613 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Vimercate;108050;(a); 16.950 ; 15.313 ; 32.263 ; 15.772 ; 15.011 ; 30.783 ; 1.178 ; 302 ; 1.480 ;; 38.618 ; 38.185 ; 76.803 ; 36.482 ; 37.479 ; 73.961 ; 2.136 ; 706 ; 2.842 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Lentate sul Seveso;108054;; 2.198 ; 426 ; 2.624 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 5.580 ; 1.395 ; 6.975 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;Altri comuni della Provincia di MONZA E BRIANZA; ;; 91.166 ; 84.546 ; 175.712 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 143.525 ; 156.989 ; 300.514 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 030 ;LOMBARDIA;108;MONZA E BRIANZA;; ;; 294.527 ; 180.097 ; 474.624 ; 278.711 ; 175.191 ; 453.902 ; 15.816 ; 4.906 ; 20.722 ;; 530.505 ; 367.132 ; 897.637 ; 431.552 ; 323.931 ; 755.483 ; 98.953 ; 43.201 ; 142.154 
 030 ;LOMBARDIA; ;;; ;; 7.035.647 ; 8.374.162 ; 15.409.809 ; 6.074.013 ; 7.117.531 ; 13.191.544 ; 961.634 ; 1.256.631 ; 2.218.265 ;; 14.904.885 ; 22.289.211 ; 37.194.096 ; 11.132.148 ; 16.845.804 ; 27.977.952 ; 3.772.737 ; 5.443.407 ; 9.216.144 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Aldino;021001;; 5.821 ; 9.447 ; 15.268 ; 4.291 ; 8.266 ; 12.557 ; 1.530 ; 1.181 ; 2.711 ;; 26.152 ; 49.917 ; 76.069 ; 19.065 ; 43.353 ; 62.418 ; 7.087 ; 6.564 ; 13.651 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Andriano;021002;; 4.306 ; 11.415 ; 15.721 ; 4.136 ; 10.211 ; 14.347 ; 170 ; 1.204 ; 1.374 ;; 14.987 ; 49.659 ; 64.646 ; 13.936 ; 41.478 ; 55.414 ; 1.051 ; 8.181 ; 9.232 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Anterivo;021003;; 948 ; 2.734 ; 3.682 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 5.166 ; 13.635 ; 18.801 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Appiano sulla strada del vino;021004;; 14.507 ; 86.763 ; 101.270 ; 10.777 ; 68.224 ; 79.001 ; 3.730 ; 18.539 ; 22.269 ;; 61.592 ; 434.001 ; 495.593 ; 43.249 ; 308.197 ; 351.446 ; 18.343 ; 125.804 ; 144.147 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Avelengo;021005;; 11.713 ; 44.866 ; 56.579 ; 10.856 ; 39.175 ; 50.031 ; 857 ; 5.691 ; 6.548 ;; 38.526 ; 232.723 ; 271.249 ; 34.361 ; 205.042 ; 239.403 ; 4.165 ; 27.681 ; 31.846 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Badia;021006;; 117.671 ; 88.714 ; 206.385 ; 91.504 ; 67.380 ; 158.884 ; 26.167 ; 21.334 ; 47.501 ;; 610.485 ; 472.488 ; 1.082.973 ; 453.559 ; 359.692 ; 813.251 ; 156.926 ; 112.796 ; 269.722 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Barbiano;021007;; 2.254 ; 24.518 ; 26.772 ; 1.717 ; 20.480 ; 22.197 ; 537 ; 4.038 ; 4.575 ;; 6.645 ; 115.880 ; 122.525 ; 4.947 ; 97.857 ; 102.804 ; 1.698 ; 18.023 ; 19.721 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Bolzano;021008;; 124.741 ; 189.575 ; 314.316 ; 111.532 ; 155.993 ; 267.525 ; 13.209 ; 33.582 ; 46.791 ;; 230.378 ; 408.475 ; 638.853 ; 196.255 ; 311.541 ; 507.796 ; 34.123 ; 96.934 ; 131.057 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Braies;021009;; 22.904 ; 14.711 ; 37.615 ; 18.283 ; 11.418 ; 29.701 ; 4.621 ; 3.293 ; 7.914 ;; 84.442 ; 49.148 ; 133.590 ; 64.580 ; 39.307 ; 103.887 ; 19.862 ; 9.841 ; 29.703 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Brennero;021010;; 20.054 ; 29.738 ; 49.792 ; 13.113 ; 27.173 ; 40.286 ; 6.941 ; 2.565 ; 9.506 ;; 83.387 ; 117.521 ; 200.908 ; 46.865 ; 107.773 ; 154.638 ; 36.522 ; 9.748 ; 46.270 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Bressanone;021011;; 65.860 ; 117.080 ; 182.940 ; 50.549 ; 91.017 ; 141.566 ; 15.311 ; 26.063 ; 41.374 ;; 204.938 ; 396.772 ; 601.710 ; 149.708 ; 285.212 ; 434.920 ; 55.230 ; 111.560 ; 166.790 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Bronzolo;021012;; 1.697 ; 894 ; 2.591 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 5.361 ; 3.404 ; 8.765 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Brunico;021013;; 64.829 ; 63.760 ; 128.589 ; 56.522 ; 54.462 ; 110.984 ; 8.307 ; 9.298 ; 17.605 ;; 254.694 ; 267.815 ; 522.509 ; 213.179 ; 220.674 ; 433.853 ; 41.515 ; 47.141 ; 88.656 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Caines;021014;; 285 ; 3.325 ; 3.610 ; 98 ; 2.055 ; 2.153 ; 187 ; 1.270 ; 1.457 ;; 1.021 ; 22.163 ; 23.184 ; 459 ; 13.326 ; 13.785 ; 562 ; 8.837 ; 9.399 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Caldaro sulla strada del vino;021015;; 8.460 ; 112.628 ; 121.088 ; 6.968 ; 74.434 ; 81.402 ; 1.492 ; 38.194 ; 39.686 ;; 18.536 ; 539.549 ; 558.085 ; 13.149 ; 331.568 ; 344.717 ; 5.387 ; 207.981 ; 213.368 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Campo di Trens;021016;; 16.453 ; 39.586 ; 56.039 ; 14.444 ; 36.697 ; 51.141 ; 2.009 ; 2.889 ; 4.898 ;; 48.900 ; 80.293 ; 129.193 ; 40.658 ; 74.603 ; 115.261 ; 8.242 ; 5.690 ; 13.932 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Campo Tures;021017;; 42.164 ; 45.953 ; 88.117 ; 36.296 ; 39.797 ; 76.093 ; 5.868 ; 6.156 ; 12.024 ;; 186.801 ; 236.374 ; 423.175 ; 150.085 ; 197.079 ; 347.164 ; 36.716 ; 39.295 ; 76.011 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Castelbello-Ciardes;021018;; 1.291 ; 12.282 ; 13.573 ; 968 ; 10.353 ; 11.321 ; 323 ; 1.929 ; 2.252 ;; 4.211 ; 60.686 ; 64.897 ; 2.869 ; 48.144 ; 51.013 ; 1.342 ; 12.542 ; 13.884 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Castelrotto;021019;; 122.456 ; 165.004 ; 287.460 ; 108.349 ; 138.333 ; 246.682 ; 14.107 ; 26.671 ; 40.778 ;; 582.998 ; 925.635 ; 1.508.633 ; 492.052 ; 751.246 ; 1.243.298 ; 90.946 ; 174.389 ; 265.335 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Cermes;021020;; 1.789 ; 14.615 ; 16.404 ; 1.665 ; 12.219 ; 13.884 ; 124 ; 2.396 ; 2.520 ;; 4.238 ; 80.955 ; 85.193 ; 3.580 ; 62.924 ; 66.504 ; 658 ; 18.031 ; 18.689 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Chienes;021021;; 26.673 ; 46.400 ; 73.073 ; 24.560 ; 42.647 ; 67.207 ; 2.113 ; 3.753 ; 5.866 ;; 106.404 ; 223.933 ; 330.337 ; 93.466 ; 201.756 ; 295.222 ; 12.938 ; 22.177 ; 35.115 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Chiusa;021022;; 17.448 ; 46.028 ; 63.476 ; 14.282 ; 32.770 ; 47.052 ; 3.166 ; 13.258 ; 16.424 ;; 47.823 ; 119.555 ; 167.378 ; 37.580 ; 85.860 ; 123.440 ; 10.243 ; 33.695 ; 43.938 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Cornedo all'Isarco;021023;; 5.315 ; 15.499 ; 20.814 ; 4.189 ; 14.044 ; 18.233 ; 1.126 ; 1.455 ; 2.581 ;; 14.079 ; 66.159 ; 80.238 ; 9.702 ; 60.531 ; 70.233 ; 4.377 ; 5.628 ; 10.005 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Cortaccia sulla strada del vino;021024;; 1.142 ; 10.634 ; 11.776 ; 700 ; 6.014 ; 6.714 ; 442 ; 4.620 ; 5.062 ;; 3.186 ; 49.019 ; 52.205 ; 1.537 ; 22.230 ; 23.767 ; 1.649 ; 26.789 ; 28.438 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Corvara in Badia;021026;; 98.319 ; 90.692 ; 189.011 ; 85.069 ; 74.473 ; 159.542 ; 13.250 ; 16.219 ; 29.469 ;; 490.823 ; 478.851 ; 969.674 ; 424.902 ; 401.679 ; 826.581 ; 65.921 ; 77.172 ; 143.093 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Curon Venosta;021027;; 21.331 ; 63.962 ; 85.293 ; 15.255 ; 51.381 ; 66.636 ; 6.076 ; 12.581 ; 18.657 ;; 79.653 ; 269.394 ; 349.047 ; 57.085 ; 212.989 ; 270.074 ; 22.568 ; 56.405 ; 78.973 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Dobbiaco;021028;; 90.101 ; 46.855 ; 136.956 ; 55.983 ; 29.299 ; 85.282 ; 34.118 ; 17.556 ; 51.674 ;; 377.271 ; 165.766 ; 543.037 ; 214.676 ; 106.653 ; 321.329 ; 162.595 ; 59.113 ; 221.708 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Egna;021029;; 3.897 ; 7.132 ; 11.029 ; 3.479 ; 6.711 ; 10.190 ; 418 ; 421 ; 839 ;; 11.047 ; 17.621 ; 28.668 ; 8.069 ; 15.736 ; 23.805 ; 2.978 ; 1.885 ; 4.863 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Falzes;021030;; 13.971 ; 17.658 ; 31.629 ; 11.581 ; 15.340 ; 26.921 ; 2.390 ; 2.318 ; 4.708 ;; 63.387 ; 87.556 ; 150.943 ; 47.949 ; 72.971 ; 120.920 ; 15.438 ; 14.585 ; 30.023 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Fiè allo Sciliar;021031;; 19.548 ; 55.920 ; 75.468 ; 14.599 ; 31.816 ; 46.415 ; 4.949 ; 24.104 ; 29.053 ;; 88.534 ; 301.473 ; 390.007 ; 63.851 ; 168.487 ; 232.338 ; 24.683 ; 132.986 ; 157.669 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Fortezza;021032;; 4.024 ; 8.707 ; 12.731 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 12.045 ; 15.218 ; 27.263 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Funes;021033;; 12.416 ; 18.502 ; 30.918 ; 6.214 ; 7.798 ; 14.012 ; 6.202 ; 10.704 ; 16.906 ;; 52.634 ; 83.786 ; 136.420 ; 26.794 ; 38.288 ; 65.082 ; 25.840 ; 45.498 ; 71.338 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Gais;021034;; 15.661 ; 22.946 ; 38.607 ; 14.768 ; 22.021 ; 36.789 ; 893 ; 925 ; 1.818 ;; 67.647 ; 105.230 ; 172.877 ; 62.367 ; 99.412 ; 161.779 ; 5.280 ; 5.818 ; 11.098 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Gargazzone;021035;; 2.316 ; 8.660 ; 10.976 ; 2.284 ; 8.415 ; 10.699 ; 32 ; 245 ; 277 ;; 8.340 ; 41.296 ; 49.636 ; 8.218 ; 39.653 ; 47.871 ; 122 ; 1.643 ; 1.765 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Glorenza;021036;; 4.519 ; 17.360 ; 21.879 ; 2.403 ; 6.700 ; 9.103 ; 2.116 ; 10.660 ; 12.776 ;; 12.535 ; 51.022 ; 63.557 ; 4.714 ; 12.810 ; 17.524 ; 7.821 ; 38.212 ; 46.033 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Laces;021037;; 6.831 ; 52.518 ; 59.349 ; 5.099 ; 35.747 ; 40.846 ; 1.732 ; 16.771 ; 18.503 ;; 21.377 ; 240.412 ; 261.789 ; 14.920 ; 155.867 ; 170.787 ; 6.457 ; 84.545 ; 91.002 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Lagundo;021038;; 16.281 ; 89.807 ; 106.088 ; 15.029 ; 73.116 ; 88.145 ; 1.252 ; 16.691 ; 17.943 ;; 41.544 ; 535.985 ; 577.529 ; 36.324 ; 421.109 ; 457.433 ; 5.220 ; 114.876 ; 120.096 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Laion;021039;; 9.853 ; 19.642 ; 29.495 ; 7.495 ; 14.976 ; 22.471 ; 2.358 ; 4.666 ; 7.024 ;; 39.963 ; 83.222 ; 123.185 ; 28.034 ; 57.086 ; 85.120 ; 11.929 ; 26.136 ; 38.065 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Laives;021040;; 24.103 ; 52.108 ; 76.211 ; 22.706 ; 35.723 ; 58.429 ; 1.397 ; 16.385 ; 17.782 ;; 69.170 ; 181.695 ; 250.865 ; 57.792 ; 100.703 ; 158.495 ; 11.378 ; 80.992 ; 92.370 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Lana;021041;; 11.445 ; 97.897 ; 109.342 ; 9.032 ; 58.967 ; 67.999 ; 2.413 ; 38.930 ; 41.343 ;; 33.256 ; 565.606 ; 598.862 ; 22.131 ; 298.265 ; 320.396 ; 11.125 ; 267.341 ; 278.466 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Lasa;021042;; 1.412 ; 5.831 ; 7.243 ; 583 ; 1.294 ; 1.877 ; 829 ; 4.537 ; 5.366 ;; 5.015 ; 26.410 ; 31.425 ; 1.798 ; 2.765 ; 4.563 ; 3.217 ; 23.645 ; 26.862 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Luson;021044;; 9.704 ; 20.592 ; 30.296 ; 8.861 ; 18.549 ; 27.410 ; 843 ; 2.043 ; 2.886 ;; 35.916 ; 120.046 ; 155.962 ; 32.772 ; 106.907 ; 139.679 ; 3.144 ; 13.139 ; 16.283 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Malles Venosta;021046;; 18.146 ; 62.599 ; 80.745 ; 14.272 ; 51.043 ; 65.315 ; 3.874 ; 11.556 ; 15.430 ;; 65.344 ; 270.249 ; 335.593 ; 48.566 ; 210.378 ; 258.944 ; 16.778 ; 59.871 ; 76.649 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Marebbe;021047;; 72.260 ; 52.794 ; 125.054 ; 50.640 ; 30.974 ; 81.614 ; 21.620 ; 21.820 ; 43.440 ;; 368.060 ; 224.489 ; 592.549 ; 263.451 ; 147.054 ; 410.505 ; 104.609 ; 77.435 ; 182.044 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Marlengo;021048;; 6.732 ; 40.844 ; 47.576 ; 5.889 ; 36.678 ; 42.567 ; 843 ; 4.166 ; 5.009 ;; 23.053 ; 214.806 ; 237.859 ; 18.268 ; 184.107 ; 202.375 ; 4.785 ; 30.699 ; 35.484 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Martello;021049;; 4.207 ; 11.050 ; 15.257 ; 3.117 ; 7.203 ; 10.320 ; 1.090 ; 3.847 ; 4.937 ;; 15.700 ; 50.228 ; 65.928 ; 12.459 ; 35.485 ; 47.944 ; 3.241 ; 14.743 ; 17.984 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Meltina;021050;; 1.924 ; 6.337 ; 8.261 ; 1.230 ; 4.130 ; 5.360 ; 694 ; 2.207 ; 2.901 ;; 5.930 ; 27.945 ; 33.875 ; 3.162 ; 15.096 ; 18.258 ; 2.768 ; 12.849 ; 15.617 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Merano;021051;; 103.921 ; 216.111 ; 320.032 ; 85.322 ; 177.043 ; 262.365 ; 18.599 ; 39.068 ; 57.667 ;; 276.157 ; 829.721 ; 1.105.878 ; 219.899 ; 695.535 ; 915.434 ; 56.258 ; 134.186 ; 190.444 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Monguelfo-Tesido;021052;; 22.728 ; 15.866 ; 38.594 ; 17.536 ; 12.549 ; 30.085 ; 5.192 ; 3.317 ; 8.509 ;; 95.668 ; 84.470 ; 180.138 ; 65.159 ; 62.946 ; 128.105 ; 30.509 ; 21.524 ; 52.033 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Montagna;021053;; 3.990 ; 10.078 ; 14.068 ; 2.768 ; 6.327 ; 9.095 ; 1.222 ; 3.751 ; 4.973 ;; 10.176 ; 40.174 ; 50.350 ; 7.005 ; 24.106 ; 31.111 ; 3.171 ; 16.068 ; 19.239 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Moso in Passiria;021054;; 8.521 ; 21.672 ; 30.193 ; 6.521 ; 15.805 ; 22.326 ; 2.000 ; 5.867 ; 7.867 ;; 26.970 ; 88.026 ; 114.996 ; 21.288 ; 63.028 ; 84.316 ; 5.682 ; 24.998 ; 30.680 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Nalles;021055;; 6.119 ; 18.045 ; 24.164 ; 4.745 ; 15.282 ; 20.027 ; 1.374 ; 2.763 ; 4.137 ;; 15.186 ; 81.366 ; 96.552 ; 10.440 ; 69.523 ; 79.963 ; 4.746 ; 11.843 ; 16.589 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Naturno;021056;; 8.849 ; 86.666 ; 95.515 ; 7.644 ; 66.339 ; 73.983 ; 1.205 ; 20.327 ; 21.532 ;; 32.256 ; 479.824 ; 512.080 ; 26.442 ; 344.846 ; 371.288 ; 5.814 ; 134.978 ; 140.792 
 041 ;BOLZANO - BOZEN;021;BOLZANO-BOZEN;Naz-Sciaves;021057;; 14.210 ; 57.626 ; 71.836 ; 12.253 ; 54.477 ; 66.730 ; 1.957 ; 3.149 ; 5.106 ;; 61.313 ; 293.962 ; 355.275 ; 51.316 ; 275.011 ; 326.327 ; 9.997 ; 18.951 ; 28.948 
