Cod. Reg;Regione / Region;Cod. Prov.;Provincia / Province;Comune / Municipality;Cod. Istat;flag;Arrivi / Arrivals;;;;;;;;;;Presenze / Nights spent;;;;;;;;
;;;;;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;;;"Totale esercizi / 
Total accomm. establishments";;;"Esercizi alberghieri / 
Hotels and similar establishments";;;"Esercizi extra-alberghieri/ 
Other accomm. establishments";;
;;;;;;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals;Residenti / Residents;Non residenti / Non residents;Totale / Totals
 010 ;PIEMONTE;001;TORINO;Giaveno;001115;; 3.925 ; 324 ; 4.249 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 13.125 ; 692 ; 13.817 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Groscavallo;001118;; 623 ; 222 ; 845 ; 179 ; 207 ; 386 ; 444 ; 15 ; 459 ;; 1.428 ; 323 ; 1.751 ; 730 ; 291 ; 1.021 ; 698 ; 32 ; 730 
 010 ;PIEMONTE;001;TORINO;Grugliasco;001120;; 79.849 ; 626 ; 80.475 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 81.645 ; 1.295 ; 82.940 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Ivrea;001125;; 10.728 ; 5.674 ; 16.402 ; 8.687 ; 4.502 ; 13.189 ; 2.041 ; 1.172 ; 3.213 ;; 24.379 ; 8.936 ; 33.315 ; 17.447 ; 6.209 ; 23.656 ; 6.932 ; 2.727 ; 9.659 
 010 ;PIEMONTE;001;TORINO;Leini;001130;; 20.378 ; 2.421 ; 22.799 ; 18.951 ; 480 ; 19.431 ; 1.427 ; 1.941 ; 3.368 ;; 47.429 ; 2.853 ; 50.282 ; 44.604 ; 763 ; 45.367 ; 2.825 ; 2.090 ; 4.915 
 010 ;PIEMONTE;001;TORINO;Luserna San Giovanni;001139;; 602 ; 32 ; 634 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 1.705 ; 204 ; 1.909 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Moncalieri;001156;; 52.155 ; 6.052 ; 58.207 ; 47.739 ; 4.853 ; 52.592 ; 4.416 ; 1.199 ; 5.615 ;; 126.161 ; 16.005 ; 142.166 ; 111.455 ; 12.806 ; 124.261 ; 14.706 ; 3.199 ; 17.905 
 010 ;PIEMONTE;001;TORINO;Nichelino;001164;; 16.182 ; 3.331 ; 19.513 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 48.881 ; 9.791 ; 58.672 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;None;001168;; 6.672 ; 189 ; 6.861 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 17.716 ; 586 ; 18.302 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
 010 ;PIEMONTE;001;TORINO;Orbassano;001171;; 7.486 ; 1.710 ; 9.196 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) ;; 17.312 ; 4.873 ; 22.185 ; (*) ; (*) ; (*) ; (*) ; (*) ; (*) 
